Date,Price,Open,High,Low,Vol.,Change %
06/03/2013,3920.67,3929.68,3979.53,3889.44,93.65M,-0.71%
05/31/2013,3948.59,3995.79,3995.44,3938.19,133.51M,-1.19%
05/30/2013,3996.31,3964.50,4018.97,3963.69,84.61M,0.56%
05/29/2013,3974.12,4024.76,4028.77,3970.46,91.56M,-1.89%
05/28/2013,4050.56,4005.83,4072.24,4004.27,99.49M,1.39%
05/27/2013,3995.16,3979.15,3998.05,3976.41,39.19M,0.97%
05/24/2013,3956.79,3982.26,3997.13,3942.06,83.05M,-0.26%
05/23/2013,3967.15,3955.98,3983.72,3940.29,127.18M,-2.07%
05/22/2013,4051.11,4036.49,4058.73,4009.26,92.98M,0.37%
05/21/2013,4036.18,4009.84,4036.18,3991.38,87.15M,0.33%
05/20/2013,4022.85,4005.79,4022.85,3993.12,61.73M,0.54%
05/17/2013,4001.27,3968.41,4018.84,3962.31,148.92M,0.56%
05/16/2013,3979.07,3967.70,3984.28,3957.77,93.97M,-0.08%
05/15/2013,3982.23,3959.04,3983.05,3950.57,93.77M,0.41%
05/14/2013,3966.06,3949.90,3966.06,3922.20,89.44M,0.53%
05/13/2013,3945.20,3948.33,3961.66,3933.32,75.02M,-0.22%
05/10/2013,3953.83,3932.43,3971.92,3930.36,94.89M,0.64%
05/09/2013,3928.58,3927.12,3941.81,3909.00,64.15M,-0.70%
05/08/2013,3956.28,3924.00,3957.06,3919.19,85.16M,0.89%
05/07/2013,3921.32,3915.38,3940.58,3904.90,105.49M,0.37%
05/06/2013,3907.04,3909.49,3915.59,3897.73,47.15M,-0.15%
05/03/2013,3912.95,3873.95,3914.51,3848.33,109.44M,1.40%
05/02/2013,3858.76,3828.62,3888.98,3819.04,118.41M,0.05%
04/30/2013,3856.75,3883.00,3886.45,3843.37,101.01M,-0.31%
04/29/2013,3868.68,3827.93,3870.19,3828.18,86.17M,1.54%
04/26/2013,3810.05,3821.99,3828.14,3788.47,92.56M,-0.79%
04/25/2013,3840.47,3835.25,3854.41,3825.61,98.41M,-0.06%
04/24/2013,3842.94,3786.45,3849.04,3782.56,141.67M,1.58%
04/23/2013,3783.05,3655.65,3783.05,3655.07,151.08M,3.58%
04/22/2013,3652.13,3673.48,3681.95,3631.58,88.58M,0.00%
04/19/2013,3651.96,3633.33,3657.98,3613.97,121.17M,1.46%
04/18/2013,3599.36,3617.03,3636.88,3584.38,132.88M,0.00%
04/17/2013,3599.23,3707.05,3711.47,3591.32,156.36M,-2.35%
04/16/2013,3685.79,3694.66,3721.96,3676.45,107.30M,-0.67%
04/15/2013,3710.48,3728.69,3747.67,3684.85,103.65M,-0.50%
04/12/2013,3729.30,3765.65,3773.64,3718.11,100.06M,-1.23%
04/11/2013,3775.66,3739.90,3788.86,3736.53,101.18M,0.85%
04/10/2013,3743.71,3685.28,3750.17,3685.67,125.57M,1.99%
04/09/2013,3670.72,3688.23,3701.93,3655.92,97.49M,0.11%
04/08/2013,3666.78,3677.21,3694.27,3663.16,79.62M,0.09%
04/05/2013,3663.48,3727.63,3735.68,3638.83,127.80M,-1.68%
04/04/2013,3726.16,3767.88,3794.72,3719.20,124.70M,-0.77%
04/03/2013,3754.96,3789.58,3806.30,3752.71,113.31M,-1.32%
04/02/2013,3805.37,3729.82,3810.18,3729.28,129.18M,1.98%
03/28/2013,3731.42,3710.92,3751.15,3695.09,109.48M,0.53%
03/27/2013,3711.64,3763.02,3765.76,3669.17,140.48M,-0.99%
03/26/2013,3748.64,3735.32,3765.01,3732.14,108.93M,0.55%
03/25/2013,3727.98,3823.88,3837.02,3719.44,131.72M,-1.12%
03/22/2013,3770.29,3766.24,3790.92,3750.05,95.91M,-0.12%
03/21/2013,3774.85,3821.44,3822.65,3756.58,103.81M,-1.43%
03/20/2013,3829.56,3798.12,3834.88,3785.81,105.95M,1.43%
03/19/2013,3775.75,3813.37,3819.37,3763.99,126.79M,-1.30%
03/18/2013,3825.47,3768.07,3832.02,3761.22,122.59M,-0.48%
03/15/2013,3844.03,3869.14,3868.52,3829.73,198.66M,-0.71%
03/14/2013,3871.58,3855.30,3871.58,3849.69,119.99M,0.93%
03/13/2013,3836.04,3834.44,3839.99,3817.56,83.70M,-0.10%
03/12/2013,3839.97,3824.11,3855.07,3822.95,84.35M,0.10%
03/11/2013,3836.27,3830.69,3837.79,3817.92,73.78M,-0.10%
03/08/2013,3840.15,3813.70,3849.87,3813.08,110.42M,1.22%
03/07/2013,3793.78,3783.04,3802.18,3779.82,88.52M,0.53%
03/06/2013,3773.76,3791.54,3809.00,3769.94,90.55M,-0.35%
03/05/2013,3787.19,3737.81,3793.24,3736.91,112.33M,2.09%
03/04/2013,3709.76,3680.58,3723.68,3673.03,98.92M,0.27%
03/01/2013,3699.91,3712.42,3731.70,3661.21,106.51M,-0.62%
02/28/2013,3723.00,3711.72,3728.12,3685.06,124.27M,0.85%
02/27/2013,3691.49,3641.90,3693.17,3619.47,125.40M,1.92%
02/26/2013,3621.92,3610.06,3667.62,3600.81,162.46M,-2.67%
02/25/2013,3721.33,3721.10,3787.53,3704.93,133.44M,0.41%
02/22/2013,3706.28,3644.55,3706.78,3645.10,107.98M,2.25%
02/21/2013,3624.80,3687.28,3688.05,3623.17,142.01M,-2.29%
02/20/2013,3709.88,3734.13,3743.65,3701.75,119.46M,-0.69%
02/19/2013,3735.82,3662.12,3740.49,3661.13,100.74M,1.88%
02/18/2013,3667.04,3655.53,3669.35,3640.83,65.82M,0.18%
02/15/2013,3660.37,3665.78,3694.73,3659.24,103.65M,-0.25%
02/14/2013,3669.60,3691.50,3710.09,3657.66,112.16M,-0.78%
02/13/2013,3698.53,3692.47,3709.39,3673.14,89.57M,0.32%
02/12/2013,3686.58,3645.27,3686.58,3639.53,88.56M,0.99%
02/11/2013,3650.58,3660.28,3676.43,3634.82,69.19M,0.03%
02/08/2013,3649.50,3614.96,3653.56,3608.11,98.62M,1.35%
02/07/2013,3601.05,3638.94,3659.97,3601.05,102.63M,-1.15%
02/06/2013,3642.90,3695.27,3706.98,3624.03,130.23M,-1.40%
02/05/2013,3694.70,3654.22,3710.81,3654.32,90.12M,0.95%
02/04/2013,3659.91,3778.36,3778.36,3659.91,126.06M,-3.01%
02/01/2013,3773.53,3734.66,3786.25,3731.72,108.40M,1.10%
01/31/2013,3732.60,3755.11,3761.22,3725.68,121.57M,-0.87%
01/30/2013,3765.52,3787.33,3793.26,3759.26,96.93M,-0.54%
01/29/2013,3785.82,3780.20,3789.92,3762.85,84.27M,0.13%
01/28/2013,3780.89,3784.58,3789.12,3771.11,83.04M,0.07%
01/25/2013,3778.16,3745.81,3782.60,3745.02,100.13M,0.69%
01/24/2013,3752.17,3723.03,3752.42,3711.55,79.56M,0.70%
01/23/2013,3726.17,3743.47,3751.91,3714.34,96.34M,-0.40%
01/22/2013,3741.01,3759.00,3762.93,3724.53,98.27M,-0.59%
01/21/2013,3763.03,3747.58,3763.42,3739.45,57.38M,0.57%
01/18/2013,3741.58,3758.38,3760.95,3735.71,100.07M,-0.07%
01/17/2013,3744.11,3709.12,3754.17,3705.04,97.60M,0.96%
01/16/2013,3708.49,3694.43,3715.15,3680.61,90.94M,0.30%
01/15/2013,3697.35,3697.21,3718.30,3689.34,103.64M,-0.29%
01/14/2013,3708.25,3721.63,3730.04,3704.17,93.65M,0.06%
01/11/2013,3706.02,3708.88,3714.45,3683.82,83.58M,0.08%
01/10/2013,3703.12,3716.08,3727.35,3694.07,140.77M,-0.39%
01/09/2013,3717.45,3722.09,3730.05,3703.53,130.15M,0.31%
01/08/2013,3705.88,3694.21,3731.24,3692.90,90.90M,0.03%
01/07/2013,3704.64,3731.49,3732.65,3696.51,82.58M,-0.68%
01/04/2013,3730.02,3713.32,3731.13,3696.54,64.32M,0.24%
01/03/2013,3721.17,3724.30,3726.97,3703.83,58.74M,-0.34%
01/02/2013,3733.93,3702.66,3733.93,3692.90,90.34M,2.55%
12/31/2012,3641.07,3600.16,3656.66,3599.22,23.84M,0.58%
12/28/2012,3620.25,3677.00,3680.11,3618.67,49.79M,-1.47%
12/27/2012,3674.26,3652.45,3684.16,3654.09,55.63M,0.59%
