Date,Price,Open,High,Low,Vol.,Change %
01/26/2021,13870.99,13687.39,13925.73,13670.23,79.52M,1.66%
01/25/2021,13643.95,13943.96,13946.85,13599.78,77.57M,-1.66%
01/22/2021,13873.97,13858.05,13897.73,13744.26,74.57M,-0.24%
01/21/2021,13906.67,13997.78,14026.35,13878.84,63.25M,-0.11%
01/20/2021,13921.37,13848.77,13952.20,13835.99,65.21M,0.77%
01/19/2021,13815.06,13935.93,13940.05,13804.46,64.90M,-0.24%
01/18/2021,13848.35,13701.98,13850.40,13701.74,49.83M,0.44%
01/15/2021,13787.73,13904.30,13958.16,13672.67,96.85M,-1.44%
01/14/2021,13988.70,13973.77,14030.22,13942.88,75.54M,0.35%
01/13/2021,13939.71,13899.06,13978.43,13868.83,70.60M,0.11%
01/12/2021,13925.06,13985.89,13999.57,13871.44,75.79M,-0.08%
01/11/2021,13936.66,13986.42,14007.65,13806.69,67.16M,-0.80%
01/08/2021,14049.53,14106.60,14131.52,14007.71,79.82M,0.58%
01/07/2021,13968.24,13946.53,14007.47,13902.24,86.10M,0.55%
01/06/2021,13891.97,13687.08,13919.23,13617.11,92.50M,1.76%
01/05/2021,13651.22,13680.69,13768.13,13566.47,68.90M,-0.55%
01/04/2021,13726.74,13890.22,13907.13,13647.79,70.21M,0.06%
12/30/2020,13718.78,13750.99,13797.09,13717.47,28.32M,-0.31%
12/29/2020,13761.38,13873.35,13903.11,13747.08,43.16M,-0.21%
12/28/2020,13790.29,13779.05,13818.65,13740.21,49.25M,1.49%
12/23/2020,13587.23,13456.63,13601.71,13456.63,48.73M,1.26%
12/22/2020,13418.11,13311.02,13441.59,13310.42,54.62M,1.30%
12/21/2020,13246.30,13398.22,13399.99,13060.34,98.29M,-2.82%
12/18/2020,13630.51,13649.66,13774.45,13624.25,156.77M,-0.27%
12/17/2020,13667.25,13691.49,13725.84,13649.53,77.21M,0.75%
12/16/2020,13565.98,13416.29,13596.74,13412.41,77.80M,1.52%
12/15/2020,13362.87,13216.49,13374.96,13210.15,67.27M,1.06%
12/14/2020,13223.16,13224.26,13292.30,13190.53,63.02M,0.83%
12/11/2020,13114.30,13255.24,13265.61,13009.48,82.14M,-1.36%
12/10/2020,13295.73,13341.68,13370.44,13213.06,68.81M,-0.33%
12/09/2020,13340.26,13344.14,13454.13,13327.87,77.31M,0.47%
12/08/2020,13278.49,13248.02,13297.49,13199.45,54.20M,0.06%
12/07/2020,13271.00,13255.78,13289.43,13163.26,54.32M,-0.21%
12/04/2020,13298.96,13230.61,13315.37,13225.08,64.08M,0.35%
